DKUBU,TID,CODE,VCODE,VENDOR,WCODE,MAKERNAME,TDATE,EDATE,TVOL,TEMA,SPRICE,PRICE,TAXRATE,TAXKUBU,SOUKINGAKU,SOUSUUIN,APRICE,HOKAN,NOTE,SYSNOTE,INPUTDATE,INPUTUSER,KARIKBN,MITSUMORINO,PCAPA,TANI3,IKOUFLAG
New,,PA11421,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,214.00 ,214.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11422,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,74.00 ,74.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11427,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,113.00 ,113.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11428,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,36.00 ,36.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11429,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,73.00 ,73.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11430,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,27.00 ,27.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11433,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10.00,,395.00 ,395.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11433,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,130.00 ,130.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11437,,1000128,,東北物流株式会社,2026/6/1,99/99/99,10.00,,182.00 ,182.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11437,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,27.00 ,27.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11437,,1000128,,東北物流株式会社,2026/6/1,99/99/99,200.00,,27.00 ,27.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11455,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,227.00 ,227.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11456,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,38.00 ,38.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11458,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,259.00 ,259.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11459,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,51.00 ,51.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11463,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,15.50 ,15.50 ,,,,,,,,,,,,2026062401,,,
New,,PA11464,,1000128,,東北物流株式会社,2026/6/1,99/99/99,50.00,,750.00 ,750.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11465-1,,1000128,,東北物流株式会社,2026/6/1,99/99/99,60.00,,180.00 ,180.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11465-1,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,165.00 ,165.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11465-2,,1000128,,東北物流株式会社,2026/6/1,99/99/99,60.00,,169.00 ,169.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11465-2,,1000128,,東北物流株式会社,2026/6/1,99/99/99,100.00,,167.00 ,167.00 ,,,,,,,,,,,,2026062401,,,
New,,PA11466,,1000128,,東北物流株式会社,2026/6/1,99/99/99,60.00,,197.00 ,197.00 ,,,,,,,,,,,,2026062401,,,
